country,year,pop,continent,lifeExp,gdpPercap
Author 1,201701,1,Business Insider,0,0
Author 2,201701,1,CNET,0,0
Author 3,201701,1,Dispatch Tribunal,0,0
Author 4,201701,1,Stock News Times,0,0
Author 5,201701,1,Fast Company,0,0
Author 6,201701,1,TechCrunch,0,0
Author 7,201701,1,The Ledger Gazette,0,0
Author 8,201701,1,The Washington Post,0,0
Author 9,201701,1,CNBC,0,0
Author 10,201701,1,The Hill,0,0
Author 11,201701,1,Market Watch,0,0
Author 12,201701,1,The Independent - UK,0,0
Author 13,201701,1,Bloomberg,0,0
Author 14,201701,1,Mashable,0,0
Author 15,201701,1,Breitbart,0,0
Author 16,201701,1,Biz Journals,0,0
Author 17,201701,1,Reuters,0,0
Other,201701,1,Other,0,0
Abrar Al-heeti,201802,2,CNET,3,10
Abrar Al-heeti,201803,6,CNET,-6.25,10
Abrar Al-heeti,201804,15,CNET,-6.222222222,10
Abrar Al-heeti,201805,44,CNET,-6.689655172,10
Abrar Al-heeti,201806,53,CNET,-5.666666667,10
Abrar Al-heeti,201807,61,CNET,-10.75,10
Abrar Al-heeti,201808,63,CNET,-1,10
Adnan Farooqui,201710,2,Other,3,10
Adnan Farooqui,201711,13,Other,0.090909091,10
Adnan Farooqui,201712,18,Other,-1.6,10
Adnan Farooqui,201801,30,Other,-0.166666667,10
Adnan Farooqui,201802,37,Other,-2.428571429,10
Adnan Farooqui,201803,52,Other,-0.533333333,10
Adnan Farooqui,201804,59,Other,-4.857142857,10
Adnan Farooqui,201805,72,Other,-0.923076923,10
Adnan Farooqui,201806,81,Other,-0.555555556,10
Adnan Farooqui,201807,94,Other,0,10
Adnan Farooqui,201808,96,Other,2.5,10
Alex Hern,201711,3,Other,-10,10
Alex Hern,201712,4,Other,-29,10
Alex Hern,201801,11,Other,-8.857142857,10
Alex Hern,201802,13,Other,-12,5
Alex Hern,201803,29,Other,-5.25,10
Alex Hern,201804,50,Other,-7.428571429,10
Alex Hern,201805,55,Other,-11.8,10
Alex Hern,201806,60,Other,-6,10
Alex Hern,201807,65,Other,-16.6,10
Alex Hern,201808,71,Other,-21.16666667,10
Alex Perry,201711,1,Other,-10,10
Alex Perry,201712,2,Other,0,10
Alex Perry,201801,3,Other,-8,10
Alex Perry,201802,4,Other,-10,10
Alex Perry,201803,5,Other,-2,10
Alex Perry,201804,9,Other,-6,10
Alex Perry,201805,21,Other,-7.083333333,10
Alex Perry,201806,33,Other,-4.166666667,10
Alex Perry,201807,49,Other,-3.3125,10
Alex Perry,201808,50,Other,-3,10
Alfred Ng,201711,3,CNET,0.333333333,10
Alfred Ng,201712,7,CNET,-10.75,10
Alfred Ng,201801,9,CNET,-9.5,10
Alfred Ng,201802,16,CNET,-6.428571429,8.571428571
Alfred Ng,201803,18,CNET,-8,10
Alfred Ng,201804,44,CNET,-7.653846154,10
Alfred Ng,201805,75,CNET,-4.806451613,10
Alfred Ng,201806,82,CNET,-11.42857143,10
Alfred Ng,201807,88,CNET,-17,10
Alfred Ng,201808,89,CNET,-2,0
Ali Breland,201710,4,The Hill,-16,10
Ali Breland,201711,13,The Hill,-4.666666667,10
Ali Breland,201712,23,The Hill,-13.2,10
Ali Breland,201801,36,The Hill,-11.30769231,10
Ali Breland,201802,44,The Hill,-9.25,10
Ali Breland,201803,60,The Hill,-10.5625,10
Ali Breland,201804,85,The Hill,-12.52,10
Ali Breland,201805,96,The Hill,-8.181818182,9.090909091
Ali Breland,201806,102,The Hill,-7.666666667,10
Ali Breland,201807,116,The Hill,-13.35714286,10
Ali Breland,201808,122,The Hill,-17.5,10
Amber O'connor,201803,69,Dispatch Tribunal,-1.072463768,9.855072464
Amber O'connor,201804,81,Dispatch Tribunal,0.166666667,10
Amber O'connor,201805,92,Dispatch Tribunal,1.909090909,10
Amber O'connor,201806,101,Dispatch Tribunal,1.333333333,10
Amber O'connor,201807,117,Dispatch Tribunal,0.25,10
Amber O'connor,201808,118,Dispatch Tribunal,-2,10
Amy Gesenhues,201710,2,Other,-1,10
Amy Gesenhues,201711,10,Other,4.5,10
Amy Gesenhues,201712,15,Other,0.4,10
Amy Gesenhues,201801,20,Other,1.2,10
Amy Gesenhues,201802,24,Other,1.5,10
Amy Gesenhues,201803,35,Other,-0.818181818,10
Amy Gesenhues,201804,66,Other,-0.161290323,10
Amy Gesenhues,201805,88,Other,-4.727272727,10
Amy Gesenhues,201806,111,Other,-2.782608696,10
Amy Gesenhues,201807,121,Other,-1,10
Amy Gesenhues,201808,126,Other,-0.8,10
Andrew Griffin,201710,2,The Independent - UK,-8,10
Andrew Griffin,201711,8,The Independent - UK,-5.666666667,10
Andrew Griffin,201712,10,The Independent - UK,-4.5,10
Andrew Griffin,201801,19,The Independent - UK,-7.666666667,10
Andrew Griffin,201802,21,The Independent - UK,-5.5,10
