country,year,pop,continent,lifeExp,gdpPercap
Author 1,201701,1,Business Insider,0,0
Author 2,201701,1,CNET,0,0
Author 3,201701,1,Dispatch Tribunal,0,0
Author 4,201701,1,Stock News Times,0,0
Author 5,201701,1,Fast Company,0,0
Author 6,201701,1,TechCrunch,0,0
Author 7,201701,1,The Ledger Gazette,0,0
Author 8,201701,1,The Washington Post,0,0
Author 9,201701,1,CNBC,0,0
Author 10,201701,1,The Hill,0,0
Author 11,201701,1,Market Watch,0,0
Author 12,201701,1,The Independent - UK,0,0
Author 13,201701,1,Bloomberg,0,0
Author 14,201701,1,Mashable,0,0
Author 15,201701,1,Associated Press,0,0
Author 16,201701,1,Biz Journals,0,0
Author 17,201701,1,Reuters,0,0
Other,201701,1,Other,0,0
Abrar Al-heeti,201802,2,CNET,3,10
Abrar Al-heeti,201803,6,CNET,0.96,10
Abrar Al-heeti,201804,15,CNET,0.64,10
Abrar Al-heeti,201805,44,CNET,0.71,10
Abrar Al-heeti,201806,53,CNET,0.15,10
Abrar Al-heeti,201807,61,CNET,0.42,10
Abrar Al-heeti,201808,63,CNET,0.96,10
Adnan Farooqui,201710,2,Other,0.85,10
Adnan Farooqui,201711,13,Other,0.17,10
Adnan Farooqui,201712,18,Other,0.16,10
Adnan Farooqui,201801,30,Other,0.59,10
Adnan Farooqui,201802,37,Other,0.56,10
Adnan Farooqui,201803,52,Other,0.26,10
Adnan Farooqui,201804,59,Other,0.93,10
Adnan Farooqui,201805,72,Other,0.31,10
Adnan Farooqui,201806,81,Other,0.76,10
Adnan Farooqui,201807,94,Other,0.32,10
Adnan Farooqui,201808,96,Other,0.73,10
Alex Hern,201711,3,Other,0.08,10
Alex Hern,201712,4,Other,0.78,10
Alex Hern,201801,11,Other,0.29,10
Alex Hern,201802,13,Other,0.45,5
Alex Hern,201803,29,Other,0.45,10
Alex Hern,201804,50,Other,0.64,10
Alex Hern,201805,55,Other,0.23,10
Alex Hern,201806,60,Other,0.12,10
Alex Hern,201807,65,Other,0.20,10
Alex Hern,201808,71,Other,0.44,10
Alex Perry,201711,1,Other,0.55,10
Alex Perry,201712,2,Other,0.89,10
Alex Perry,201801,3,Other,0.33,10
Alex Perry,201802,4,Other,0.40,10
Alex Perry,201803,5,Other,0.85,10
Alex Perry,201804,9,Other,0.78,10
Alex Perry,201805,21,Other,0.94,10
Alex Perry,201806,33,Other,0.24,10
Alex Perry,201807,49,Other,0.09,10
Alex Perry,201808,50,Other,0.82,10
Alfred Ng,201711,3,CNET,0.53,10
Alfred Ng,201712,7,CNET,0.16,10
Alfred Ng,201801,9,CNET,0.34,10
Alfred Ng,201802,16,CNET,0.55,8.571428571
Alfred Ng,201803,18,CNET,0.63,10
Alfred Ng,201804,44,CNET,0.64,10
Alfred Ng,201805,75,CNET,0.98,10
Alfred Ng,201806,82,CNET,0.12,10
Alfred Ng,201807,88,CNET,0.66,10
Alfred Ng,201808,89,CNET,0.81,0
Ali Breland,201710,4,The Hill,0.87,10
Ali Breland,201711,13,The Hill,0.86,10
Ali Breland,201712,23,The Hill,0.95,10
Ali Breland,201801,36,The Hill,0.64,10
Ali Breland,201802,44,The Hill,0.79,10
Ali Breland,201803,60,The Hill,0.27,10
Ali Breland,201804,85,The Hill,0.10,10
Ali Breland,201805,96,The Hill,0.97,9.090909091
Ali Breland,201806,102,The Hill,0.04,10
Ali Breland,201807,116,The Hill,0.85,10
Ali Breland,201808,122,The Hill,0.80,10
Amber O'connor,201803,69,Dispatch Tribunal,0.27,9.855072464
Amber O'connor,201804,81,Dispatch Tribunal,0.93,10
Amber O'connor,201805,92,Dispatch Tribunal,0.69,10
Amber O'connor,201806,101,Dispatch Tribunal,0.09,10
Amber O'connor,201807,117,Dispatch Tribunal,0.56,10
Amber O'connor,201808,118,Dispatch Tribunal,0.97,10
Amy Gesenhues,201710,2,Other,0.46,10
Amy Gesenhues,201711,10,Other,0.27,10
Amy Gesenhues,201712,15,Other,0.22,10
Amy Gesenhues,201801,20,Other,0.62,10
Amy Gesenhues,201802,24,Other,0.08,10
Amy Gesenhues,201803,35,Other,0.90,10
Amy Gesenhues,201804,66,Other,0.50,10
Amy Gesenhues,201805,88,Other,0.31,10
Amy Gesenhues,201806,111,Other,0.03,10
Amy Gesenhues,201807,121,Other,0.26,10
Amy Gesenhues,201808,126,Other,0.04,10
Andrew Griffin,201710,2,The Independent - UK,0.30,10
Andrew Griffin,201711,8,The Independent - UK,0.67,10
Andrew Griffin,201712,10,The Independent - UK,0.55,10
Andrew Griffin,201801,19,The Independent - UK,0.21,10
Andrew Griffin,201802,21,The Independent - UK,0.46,10
Andrew Griffin,201803,42,The Independent - UK,0.33,10
Andrew Griffin,201804,65,The Independent - UK,0.42,10
Andrew Griffin,201805,69,The Independent - UK,0.43,10
Andrew Griffin,201806,72,The Independent - UK,0.98,10
