country,year,gdpPercap,lifeExp,pop,continent
Aaron Blake,201603,0,0,0,Washington Post
Aaron Blake,201604,0,0,0,Washington Post
Aaron Blake,201605,0,0,0,Washington Post
Aaron Blake,201606,0,0,0,Washington Post
Aaron Blake,201607,0,0,0,Washington Post
Aaron Blake,201608,0,0,0,Washington Post
Aaron Blake,201609,0,0,0,Washington Post
Aaron Blake,201610,0,0,0,Washington Post
Aaron Blake,201611,0,0,0,Washington Post
Aaron Blake,201612,0,0,0,Washington Post
Aaron Blake,201701,0,0,0,Washington Post
Aaron Blake,201702,0,0,0,Washington Post
Aaron Blake,201703,0,0,0,Washington Post
Aaron Blake,201704,0,0,0,Washington Post
Aaron Blake,201705,0,0,0,Washington Post
Aaron Blake,201706,0,0,0,Washington Post
Aaron Blake,201707,0,0,0,Washington Post
Aaron Blake,201708,0,0,0,Washington Post
Aaron Blake,201709,0.500230371,11.50017479,3,Washington Post
Aaron Blake,201710,0.500230371,11.50017479,3,Washington Post
Aaron Blake,201711,0.572789995,12.54518233,6,Washington Post
Aaron Blake,201712,0.564400184,12.20525185,10,Washington Post
Aaron Blake,201801,0.564400184,12.20525185,10,Washington Post
Aaron Blake,201802,0.564400184,12.20525185,10,Washington Post
Aaron Blake,201803,0.398483745,10.14842208,15,Washington Post
Aaron Blake,201804,0.726767586,14.62730889,17,Washington Post
Aaron Blake,201805,0.3736552,13.98994314,19,Washington Post
Aaron Blake,201806,0.3736552,13.98994314,19,Washington Post
Adam Shaw,201603,0,0,0,Breitbart
Adam Shaw,201604,0,0,0,Breitbart
Adam Shaw,201605,0,0,0,Breitbart
Adam Shaw,201606,0,0,0,Breitbart
Adam Shaw,201607,0,0,0,Breitbart
Adam Shaw,201608,0,0,0,Breitbart
Adam Shaw,201609,0,0,0,Breitbart
Adam Shaw,201610,0,0,0,Breitbart
Adam Shaw,201611,0,0,0,Breitbart
Adam Shaw,201612,0,0,0,Breitbart
Adam Shaw,201701,0,0,0,Breitbart
Adam Shaw,201702,0,0,0,Breitbart
Adam Shaw,201703,0,0,0,Breitbart
Adam Shaw,201704,0.582561441,13.20113678,2,Breitbart
Adam Shaw,201704,0.582561441,13.20113678,2,Breitbart
Adam Shaw,201705,0.30740939,11.81730914,6,Breitbart
Adam Shaw,201705,0.30740939,11.81730914,6,Breitbart
Adam Shaw,201706,0.562497218,13.40890032,10,Breitbart
Adam Shaw,201706,0.562497218,13.40890032,10,Breitbart
Adam Shaw,201707,0.562497218,13.40890032,10,Breitbart
Adam Shaw,201708,0.562497218,13.40890032,10,Breitbart
Adam Shaw,201709,0.562497218,13.40890032,10,Breitbart
Adam Shaw,201710,0.562497218,13.40890032,10,Breitbart
Adam Shaw,201711,0.83096322,10.92706397,12,Breitbart
Adam Shaw,201711,0.83096322,10.92706397,12,Breitbart
Adam Shaw,201712,0.488728247,12.77078627,14,Breitbart
Adam Shaw,201712,0.488728247,12.77078627,14,Breitbart
Adam Shaw,201801,0.402519589,13.93677742,20,Breitbart
Adam Shaw,201801,0.402519589,13.93677742,20,Breitbart
Adam Shaw,201802,0.482726559,13.3695418,24,Breitbart
Adam Shaw,201802,0.482726559,13.3695418,24,Breitbart
Adam Shaw,201803,0.474230979,15.26305694,30,Breitbart
Adam Shaw,201803,0.474230979,15.26305694,30,Breitbart
Adam Shaw,201804,0.531243314,13.03191372,36,Breitbart
Adam Shaw,201804,0.531243314,13.03191372,36,Breitbart
Adam Shaw,201805,0.591052749,13.2913727,48,Breitbart
Adam Shaw,201805,0.591052749,13.2913727,48,Breitbart
Adam Shaw,201806,0.591052749,13.2913727,48,Breitbart
Adam Shaw,201603,0,0,0,Fox news
Adam Shaw,201604,0,0,0,Fox news
Adam Shaw,201605,0,0,0,Fox news
Adam Shaw,201606,0,0,0,Fox news
Adam Shaw,201607,0,0,0,Fox news
Adam Shaw,201608,0,0,0,Fox news
Adam Shaw,201609,0,0,0,Fox news
Adam Shaw,201610,0,0,0,Fox news
Adam Shaw,201611,0,0,0,Fox news
Adam Shaw,201612,0,0,0,Fox news
Adam Shaw,201701,0,0,0,Fox news
Adam Shaw,201702,0,0,0,Fox news
Adam Shaw,201703,0,0,0,Fox news
Adam Shaw,201704,0.582561441,13.20113678,2,Fox news
Adam Shaw,201704,0.582561441,13.20113678,2,Fox news
Adam Shaw,201705,0.30740939,11.81730914,6,Fox news
Adam Shaw,201705,0.30740939,11.81730914,6,Fox news
Adam Shaw,201706,0.562497218,13.40890032,10,Fox news
Adam Shaw,201706,0.562497218,13.40890032,10,Fox news
Adam Shaw,201707,0.562497218,13.40890032,10,Fox news
Adam Shaw,201708,0.562497218,13.40890032,10,Fox news
Adam Shaw,201709,0.562497218,13.40890032,10,Fox news
Adam Shaw,201710,0.562497218,13.40890032,10,Fox news
Adam Shaw,201711,0.83096322,10.92706397,12,Fox news
Adam Shaw,201711,0.83096322,10.92706397,12,Fox news
Adam Shaw,201712,0.488728247,12.77078627,14,Fox news
Adam Shaw,201712,0.488728247,12.77078627,14,Fox news
Adam Shaw,201801,0.402519589,13.93677742,20,Fox news
Adam Shaw,201801,0.402519589,13.93677742,20,Fox news
Adam Shaw,201802,0.482726559,13.3695418,24,Fox news
Adam Shaw,201802,0.482726559,13.3695418,24,Fox news
Adam Shaw,201803,0.474230979,15.26305694,30,Fox news
Adam Shaw,201803,0.474230979,15.26305694,30,Fox news
Adam Shaw,201804,0.531243314,13.03191372,36,Fox news
Adam Shaw,201804,0.531243314,13.03191372,36,Fox news
Adam Shaw,201805,0.591052749,13.2913727,48,Fox news
Adam Shaw,201805,0.591052749,13.2913727,48,Fox news
Adam Shaw,201806,0.591052749,13.2913727,48,Fox news
Adam Taylor,201603,0,0,0,Washington Post
Adam Taylor,201604,0,0,0,Washington Post
Adam Taylor,201605,0,0,0,Washington Post
Adam Taylor,201606,0,0,0,Washington Post
Adam Taylor,201607,0,0,0,Washington Post
Adam Taylor,201608,0,0,0,Washington Post
Adam Taylor,201609,0,0,0,Washington Post
Adam Taylor,201610,0,0,0,Washington Post
Adam Taylor,201611,0,0,0,Washington Post
Adam Taylor,201612,0,0,0,Washington Post
Adam Taylor,201701,0,0,0,Washington Post
Adam Taylor,201702,0,0,0,Washington Post
Adam Taylor,201703,0,0,0,Washington Post
Adam Taylor,201704,0,0,0,Washington Post
Adam Taylor,201705,0,0,0,Washington Post
Adam Taylor,201706,0,0,0,Washington Post
Adam Taylor,201707,0,0,0,Washington Post
Adam Taylor,201708,0,0,0,Washington Post
Adam Taylor,201709,0,0,0,Washington Post
Adam Taylor,201710,0.491219338,13.64829528,1,Washington Post
Adam Taylor,201711,0.491219338,13.64829528,1,Washington Post
Adam Taylor,201712,0.491219338,13.64829528,1,Washington Post
Adam Taylor,201801,0.491219338,13.64829528,1,Washington Post
Adam Taylor,201802,0.601882517,15.62428135,6,Washington Post
Adam Taylor,201803,0.569546633,14.55021818,8,Washington Post
Adam Taylor,201804,0.569546633,14.55021818,8,Washington Post
Adam Taylor,201805,0.569546633,14.55021818,8,Washington Post
Adam Taylor,201806,0.569546633,14.55021818,8,Washington Post
Adelle Nazarian,201603,0,0,0,Breitbart
Adelle Nazarian,201604,0,0,0,Breitbart
Adelle Nazarian,201605,0,0,0,Breitbart
Adelle Nazarian,201606,0,0,0,Breitbart
Adelle Nazarian,201607,0,0,0,Breitbart
Adelle Nazarian,201608,0,0,0,Breitbart
Adelle Nazarian,201609,0,0,0,Breitbart
Adelle Nazarian,201610,0,0,0,Breitbart
Adelle Nazarian,201611,0,0,0,Breitbart
Adelle Nazarian,201612,0,0,0,Breitbart
Adelle Nazarian,201701,0,0,0,Breitbart
Adelle Nazarian,201702,0,0,0,Breitbart
Adelle Nazarian,201703,0,0,0,Breitbart
Adelle Nazarian,201704,0,0,0,Breitbart
Adelle Nazarian,201705,0,0,0,Breitbart
Adelle Nazarian,201706,0.633413464,12.38506442,2,Breitbart
Adelle Nazarian,201707,0.541991635,15.76521722,4,Breitbart
Adelle Nazarian,201708,0.541991635,15.76521722,4,Breitbart
Adelle Nazarian,201709,0.427080632,14.7958322,5,Breitbart
Adelle Nazarian,201710,0.483854198,14.07882728,6,Breitbart
Adelle Nazarian,201711,0.483854198,14.07882728,6,Breitbart
Adelle Nazarian,201712,0.483854198,14.07882728,6,Breitbart
Adelle Nazarian,201801,0.697208364,12.43458798,7,Breitbart
Adelle Nazarian,201802,0.416519046,17.6492781,8,Breitbart
Adelle Nazarian,201803,0.433043893,12.55881793,9,Breitbart
Adelle Nazarian,201804,0.433043893,12.55881793,9,Breitbart
Adelle Nazarian,201805,0.433043893,12.55881793,9,Breitbart
Adelle Nazarian,201806,0.705025663,15.85742831,10,Breitbart
Alex Pappas,201603,0,0,0,Fox news
Alex Pappas,201604,0,0,0,Fox news
Alex Pappas,201605,0,0,0,Fox news
Alex Pappas,201606,0,0,0,Fox news
Alex Pappas,201607,0,0,0,Fox news
Alex Pappas,201608,0,0,0,Fox news
Alex Pappas,201609,0,0,0,Fox news
Alex Pappas,201610,0,0,0,Fox news
Alex Pappas,201611,0,0,0,Fox news
Alex Pappas,201612,0,0,0,Fox news
Alex Pappas,201701,0,0,0,Fox news
Alex Pappas,201702,0,0,0,Fox news
Alex Pappas,201703,0,0,0,Fox news
Alex Pappas,201704,0,0,0,Fox news
Alex Pappas,201705,0,0,0,Fox news
Alex Pappas,201706,0,0,0,Fox news
Alex Pappas,201707,0.539380438,13.97579869,1,Fox news
Alex Pappas,201708,0.539380438,13.97579869,1,Fox news
Alex Pappas,201709,0.493115865,13.95043898,7,Fox news
Alex Pappas,201710,0.658553189,10.57281754,8,Fox news
Alex Pappas,201711,0.628359856,14.76674142,11,Fox news
Alex Pappas,201712,0.742209641,12.89384097,19,Fox news
Alex Pappas,201801,0.742209641,12.89384097,19,Fox news
Alex Pappas,201802,0.620152407,15.47440702,22,Fox news
Alex Pappas,201803,0.652164265,13.56179319,25,Fox news
Alex Pappas,201804,0.652164265,13.56179319,25,Fox news
Alex Pappas,201805,0.524121233,13.21004103,29,Fox news
Alex Pappas,201806,0.524121233,13.21004103,29,Fox news
Alexander Burns,201603,0,0,0,New York Times
Alexander Burns,201604,0,0,0,New York Times
Alexander Burns,201605,0,0,0,New York Times
Alexander Burns,201606,0,0,0,New York Times
Alexander Burns,201607,0,0,0,New York Times
Alexander Burns,201608,0.644324264,17.21018668,1,New York Times
Alexander Burns,201609,0.644324264,17.21018668,1,New York Times
Alexander Burns,201610,0.644324264,17.21018668,1,New York Times
Alexander Burns,201611,0.644324264,17.21018668,1,New York Times
Alexander Burns,201612,0.644324264,17.21018668,1,New York Times
Alexander Burns,201701,0.644324264,17.21018668,1,New York Times
Alexander Burns,201702,0.402109315,11.41620248,2,New York Times
Alexander Burns,201703,0.402109315,11.41620248,2,New York Times
Alexander Burns,201704,0.402109315,11.41620248,2,New York Times
Alexander Burns,201705,0.402109315,11.41620248,2,New York Times
Alexander Burns,201706,0.402109315,11.41620248,2,New York Times
Alexander Burns,201707,0.402109315,11.41620248,2,New York Times
Alexander Burns,201708,0.402109315,11.41620248,2,New York Times
Alexander Burns,201709,0.402109315,11.41620248,2,New York Times
Alexander Burns,201710,0.402109315,11.41620248,2,New York Times
Alexander Burns,201711,0.737363857,14.68244646,4,New York Times
Alexander Burns,201712,0.737363857,14.68244646,4,New York Times
Alexander Burns,201801,0.737363857,14.68244646,4,New York Times
Alexander Burns,201802,0.737363857,14.68244646,4,New York Times
Alexander Burns,201803,0.489911875,13.26374931,7,New York Times
Alexander Burns,201804,0.489911875,13.26374931,7,New York Times
Alexander Burns,201805,0.53120283,14.65612305,9,New York Times
Alexander Burns,201806,0.53120283,14.65612305,9,New York Times
Am Joy,201603,0,0,0,MSNBC
Am Joy,201604,0,0,0,MSNBC
Am Joy,201605,0,0,0,MSNBC
Am Joy,201606,0.480520181,10.09575804,1,MSNBC
Am Joy,201607,0.480520181,10.09575804,1,MSNBC
Am Joy,201608,0.641199506,14.78384045,2,MSNBC
Am Joy,201609,0.641199506,14.78384045,2,MSNBC
Am Joy,201610,0.473232973,11.99899314,4,MSNBC
Am Joy,201611,0.423388124,12.67269168,8,MSNBC
Am Joy,201612,0.522318032,12.00057985,10,MSNBC
Am Joy,201701,0.522318032,12.00057985,10,MSNBC
Am Joy,201702,0.522318032,12.00057985,10,MSNBC
Am Joy,201703,0.392813882,12.49826583,11,MSNBC
Am Joy,201704,0.392813882,12.49826583,11,MSNBC
Am Joy,201705,0.392813882,12.49826583,11,MSNBC
Am Joy,201706,0.559134286,10.19560584,12,MSNBC
Am Joy,201707,0.559134286,10.19560584,12,MSNBC
Am Joy,201708,0.559134286,10.19560584,12,MSNBC
Am Joy,201709,0.559134286,10.19560584,12,MSNBC
Am Joy,201710,0.559134286,10.19560584,12,MSNBC
Am Joy,201711,0.559134286,10.19560584,12,MSNBC
Am Joy,201712,0.559134286,10.19560584,12,MSNBC
Am Joy,201801,0.559134286,10.19560584,12,MSNBC
Am Joy,201802,0.559134286,10.19560584,12,MSNBC
Am Joy,201803,0.559134286,10.19560584,12,MSNBC
Am Joy,201804,0.559134286,10.19560584,12,MSNBC
Am Joy,201805,0.559134286,10.19560584,12,MSNBC
Am Joy,201806,0.559134286,10.19560584,12,MSNBC
Amber Phillips,201603,0,0,0,Washington Post
Amber Phillips,201604,0,0,0,Washington Post
Amber Phillips,201605,0,0,0,Washington Post
Amber Phillips,201606,0,0,0,Washington Post
Amber Phillips,201607,0,0,0,Washington Post
Amber Phillips,201608,0,0,0,Washington Post
Amber Phillips,201609,0,0,0,Washington Post
Amber Phillips,201610,0,0,0,Washington Post
Amber Phillips,201611,0,0,0,Washington Post
Amber Phillips,201612,0,0,0,Washington Post
Amber Phillips,201701,0,0,0,Washington Post
Amber Phillips,201702,0,0,0,Washington Post
Amber Phillips,201703,0,0,0,Washington Post
Amber Phillips,201704,0,0,0,Washington Post
Amber Phillips,201705,0,0,0,Washington Post
Amber Phillips,201706,0,0,0,Washington Post
Amber Phillips,201707,0,0,0,Washington Post
Amber Phillips,201708,0.613400595,12.15706754,3,Washington Post
Amber Phillips,201709,0.730156586,12.0157297,5,Washington Post
Amber Phillips,201710,0.597677653,13.40951293,6,Washington Post
Amber Phillips,201711,0.601198357,12.92569176,12,Washington Post
Amber Phillips,201712,0.601198357,12.92569176,12,Washington Post
Amber Phillips,201801,0.826383338,13.2985699,13,Washington Post
Amber Phillips,201802,0.826383338,13.2985699,13,Washington Post
Amber Phillips,201803,0.498127969,12.24296819,15,Washington Post
Amber Phillips,201804,0.498127969,12.24296819,15,Washington Post
Amber Phillips,201805,0.850148452,12.41235205,16,Washington Post
Amber Phillips,201806,0.850148452,12.41235205,16,Washington Post
Andrew Kaczynski,201603,0,0,0,CNN
Andrew Kaczynski,201604,0,0,0,CNN
Andrew Kaczynski,201605,0,0,0,CNN
Andrew Kaczynski,201606,0,0,0,CNN
Andrew Kaczynski,201607,0,0,0,CNN
Andrew Kaczynski,201608,0,0,0,CNN
Andrew Kaczynski,201609,0,0,0,CNN
Andrew Kaczynski,201610,0.41506017,13.82013356,4,CNN
Andrew Kaczynski,201611,0.483609067,11.48342258,9,CNN
Andrew Kaczynski,201612,0.483609067,11.48342258,9,CNN
Andrew Kaczynski,201701,0.604947642,12.81559948,11,CNN
Andrew Kaczynski,201702,0.604947642,12.81559948,11,CNN
Andrew Kaczynski,201703,0.637619099,12.79823193,14,CNN
Andrew Kaczynski,201704,0.411085042,12.57354818,17,CNN
Andrew Kaczynski,201705,0.580515917,9.823439103,18,CNN
Andrew Kaczynski,201706,0.423775158,12.17152164,20,CNN
Andrew Kaczynski,201707,0.423775158,12.17152164,20,CNN
Andrew Kaczynski,201708,0.547204557,11.89652184,23,CNN
Andrew Kaczynski,201709,0.547204557,11.89652184,23,CNN
Andrew Kaczynski,201710,0.547204557,11.89652184,23,CNN
Andrew Kaczynski,201711,0.547204557,11.89652184,23,CNN
Andrew Kaczynski,201712,0.547204557,11.89652184,23,CNN
Andrew Kaczynski,201801,0.546829726,16.64999332,24,CNN
Andrew Kaczynski,201802,0.450679364,13.54457781,25,CNN
Andrew Kaczynski,201803,0.450679364,13.54457781,25,CNN
Andrew Kaczynski,201804,0.312409254,12.74528641,26,CNN
Andrew Kaczynski,201805,0.825355379,13.48801823,27,CNN
Andrew Kaczynski,201806,0.825355379,13.48801823,27,CNN
Angela Dewan,201603,0,0,0,CNN
Angela Dewan,201604,0,0,0,CNN
Angela Dewan,201605,0,0,0,CNN
Angela Dewan,201606,0,0,0,CNN
Angela Dewan,201607,0,0,0,CNN
Angela Dewan,201608,0,0,0,CNN
Angela Dewan,201609,0,0,0,CNN
Angela Dewan,201610,0,0,0,CNN
Angela Dewan,201611,0,0,0,CNN
Angela Dewan,201612,0,0,0,CNN
Angela Dewan,201701,0,0,0,CNN
Angela Dewan,201702,0,0,0,CNN
Angela Dewan,201703,0.375374666,11.55400378,1,CNN
Angela Dewan,201704,0.516859914,12.85399242,9,CNN
Angela Dewan,201705,0.516859914,12.85399242,9,CNN
Angela Dewan,201706,0.516859914,12.85399242,9,CNN
Angela Dewan,201707,0.516859914,12.85399242,9,CNN
Angela Dewan,201708,0.398272444,11.35175574,10,CNN
Angela Dewan,201709,0.398272444,11.35175574,10,CNN
Angela Dewan,201710,0.398272444,11.35175574,10,CNN
Angela Dewan,201711,0.398272444,11.35175574,10,CNN
Angela Dewan,201712,0.600343709,14.35988651,12,CNN
Angela Dewan,201801,0.600343709,14.35988651,12,CNN
Angela Dewan,201802,0.600343709,14.35988651,12,CNN
Angela Dewan,201803,0.493861747,12.94760158,14,CNN
Angela Dewan,201804,0.493861747,12.94760158,14,CNN
Angela Dewan,201805,0.493861747,12.94760158,14,CNN
Angela Dewan,201806,0.493861747,12.94760158,14,CNN
Ariane De,201603,0,0,0,CNN
Ariane De,201604,0,0,0,CNN
Ariane De,201605,0,0,0,CNN
Ariane De,201606,0,0,0,CNN
Ariane De,201607,0,0,0,CNN
Ariane De,201608,0,0,0,CNN
Ariane De,201609,0,0,0,CNN
Ariane De,201610,0.612301231,10.55370208,1,CNN
Ariane De,201611,0.419043625,11.04927945,2,CNN
Ariane De,201612,0.801424722,11.97715867,4,CNN
Ariane De,201701,0.678035778,13.4731842,7,CNN
Ariane De,201702,0.678035778,13.4731842,7,CNN
Ariane De,201703,0.678035778,13.4731842,7,CNN
Ariane De,201704,0.678035778,13.4731842,7,CNN
Ariane De,201705,0.678035778,13.4731842,7,CNN
Ariane De,201706,0.678035778,13.4731842,7,CNN
Ariane De,201707,0.678035778,13.4731842,7,CNN
Ariane De,201708,0.678035778,13.4731842,7,CNN
Ariane De,201709,0.678035778,13.4731842,7,CNN
Ariane De,201710,0.678035778,13.4731842,7,CNN
Ariane De,201711,0.678035778,13.4731842,7,CNN
Ariane De,201712,0.678035778,13.4731842,7,CNN
Ariane De,201801,0.678035778,13.4731842,7,CNN
Ariane De,201802,0.678035778,13.4731842,7,CNN
Ariane De,201803,0.678035778,13.4731842,7,CNN
Ariane De,201804,0.585791852,13.4929175,8,CNN
Ariane De,201805,0.585791852,13.4929175,8,CNN
Ariane De,201806,0.585791852,13.4929175,8,CNN
Asma Khalid,201603,0,0,0,NPR
Asma Khalid,201604,0,0,0,NPR
Asma Khalid,201605,0,0,0,NPR
Asma Khalid,201606,0.525510445,14.82582123,2,NPR
Asma Khalid,201607,0.644496332,16.64014881,3,NPR
Asma Khalid,201608,0.644496332,16.64014881,3,NPR
Asma Khalid,201609,0.432343481,13.41473147,4,NPR
Asma Khalid,201610,0.382443835,13.35182363,5,NPR
Asma Khalid,201611,0.455704435,10.2462553,7,NPR
Asma Khalid,201612,0.455704435,10.2462553,7,NPR
Asma Khalid,201701,0.455704435,10.2462553,7,NPR
Asma Khalid,201702,0.455704435,10.2462553,7,NPR
Asma Khalid,201703,0.455704435,10.2462553,7,NPR
Asma Khalid,201704,0.455704435,10.2462553,7,NPR
Asma Khalid,201705,0.455704435,10.2462553,7,NPR
Asma Khalid,201706,0.455704435,10.2462553,7,NPR
Asma Khalid,201707,0.455704435,10.2462553,7,NPR
Asma Khalid,201708,0.455704435,10.2462553,7,NPR
Asma Khalid,201709,0.455704435,10.2462553,7,NPR
Asma Khalid,201710,0.455704435,10.2462553,7,NPR
Asma Khalid,201711,0.455704435,10.2462553,7,NPR
Asma Khalid,201712,0.455704435,10.2462553,7,NPR
Asma Khalid,201801,0.455704435,10.2462553,7,NPR
Asma Khalid,201802,0.455704435,10.2462553,7,NPR
Asma Khalid,201803,0.434867532,14.92829941,9,NPR
Asma Khalid,201804,0.434867532,14.92829941,9,NPR
Asma Khalid,201805,0.434867532,14.92829941,9,NPR
Asma Khalid,201806,0.434867532,14.92829941,9,NPR
Ben Kew,201603,0,0,0,Breitbart
Ben Kew,201604,0,0,0,Breitbart
Ben Kew,201605,0,0,0,Breitbart
Ben Kew,201606,0,0,0,Breitbart
Ben Kew,201607,0,0,0,Breitbart
Ben Kew,201608,0,0,0,Breitbart
Ben Kew,201609,0,0,0,Breitbart
Ben Kew,201610,0,0,0,Breitbart
Ben Kew,201611,0,0,0,Breitbart
Ben Kew,201612,0,0,0,Breitbart
Ben Kew,201701,0,0,0,Breitbart
Ben Kew,201702,0,0,0,Breitbart
Ben Kew,201703,0,0,0,Breitbart
Ben Kew,201704,0,0,0,Breitbart
Ben Kew,201705,0,0,0,Breitbart
Ben Kew,201706,0.433763178,15.27009232,1,Breitbart
Ben Kew,201707,0.568083546,13.42352671,4,Breitbart
Ben Kew,201708,0.568083546,13.42352671,4,Breitbart
Ben Kew,201709,0.662944945,18.56073906,5,Breitbart
Ben Kew,201710,0.267629813,13.22968126,6,Breitbart
Ben Kew,201711,0.433687187,13.49035244,7,Breitbart
Ben Kew,201712,0.433687187,13.49035244,7,Breitbart
Ben Kew,201801,0.433687187,13.49035244,7,Breitbart
Ben Kew,201802,0.577069722,16.49622441,9,Breitbart
Ben Kew,201803,0.355637684,12.38596428,10,Breitbart
Ben Kew,201804,0.625945981,13.15324614,11,Breitbart
Ben Kew,201805,0.386597394,18.99310243,12,Breitbart
Ben Kew,201806,0.386597394,18.99310243,12,Breitbart
Bill Chappell,201603,0,0,0,NPR
Bill Chappell,201604,0,0,0,NPR
Bill Chappell,201605,0,0,0,NPR
Bill Chappell,201606,0,0,0,NPR
Bill Chappell,201607,0,0,0,NPR
Bill Chappell,201608,0,0,0,NPR
Bill Chappell,201609,0.494344252,15.4706493,1,NPR
Bill Chappell,201610,0.494344252,15.4706493,1,NPR
Bill Chappell,201611,0.612892235,14.45103947,2,NPR
Bill Chappell,201612,0.612892235,14.45103947,2,NPR
Bill Chappell,201701,0.612892235,14.45103947,2,NPR
Bill Chappell,201702,0.480390983,15.09187708,3,NPR
Bill Chappell,201703,0.64020282,13.25144624,4,NPR
Bill Chappell,201704,0.380801102,14.55222051,5,NPR
Bill Chappell,201705,0.380801102,14.55222051,5,NPR
Bill Chappell,201706,0.588280528,13.02387396,7,NPR
Bill Chappell,201707,0.525991122,14.09869815,8,NPR
Bill Chappell,201708,0.525991122,14.09869815,8,NPR
Bill Chappell,201709,0.665296817,14.08400897,9,NPR
Bill Chappell,201710,0.665296817,14.08400897,9,NPR
Bill Chappell,201711,0.665296817,14.08400897,9,NPR
Bill Chappell,201712,0.518064619,13.35458415,11,NPR
Bill Chappell,201801,0.518064619,13.35458415,11,NPR
Bill Chappell,201802,0.518064619,13.35458415,11,NPR
Bill Chappell,201803,0.518064619,13.35458415,11,NPR
Bill Chappell,201804,0.518064619,13.35458415,11,NPR
Bill Chappell,201805,0.365718336,12.81904718,12,NPR
Bill Chappell,201806,0.365718336,12.81904718,12,NPR
Brian Naylor,201603,0,0,0,NPR
Brian Naylor,201604,0,0,0,NPR
Brian Naylor,201605,0,0,0,NPR
Brian Naylor,201606,0,0,0,NPR
Brian Naylor,201607,0,0,0,NPR
Brian Naylor,201608,0.572330507,16.88324621,1,NPR
Brian Naylor,201609,0.348257182,15.32247595,3,NPR
Brian Naylor,201610,0.348257182,15.32247595,3,NPR
Brian Naylor,201611,0.528562013,12.40457609,5,NPR
Brian Naylor,201612,0.528562013,12.40457609,5,NPR
Brian Naylor,201701,0.666812367,14.62390285,6,NPR
Brian Naylor,201702,0.386938618,14.78105992,7,NPR
Brian Naylor,201703,0.549771576,11.92287427,8,NPR
Brian Naylor,201704,0.549771576,11.92287427,8,NPR
Brian Naylor,201705,0.645014996,15.73829451,10,NPR
Brian Naylor,201706,0.361218208,14.99479683,13,NPR
Brian Naylor,201707,0.361218208,14.99479683,13,NPR
Brian Naylor,201708,0.361218208,14.99479683,13,NPR
Brian Naylor,201709,0.361218208,14.99479683,13,NPR
Brian Naylor,201710,0.361218208,14.99479683,13,NPR
Brian Naylor,201711,0.493801787,13.67459852,14,NPR
Brian Naylor,201712,0.3928314,14.10585112,17,NPR
Brian Naylor,201801,0.3928314,14.10585112,17,NPR
Brian Naylor,201802,0.3928314,14.10585112,17,NPR
Brian Naylor,201803,0.3928314,14.10585112,17,NPR
Brian Naylor,201804,0.3928314,14.10585112,17,NPR
Brian Naylor,201805,0.3928314,14.10585112,17,NPR
Brian Naylor,201806,0.3928314,14.10585112,17,NPR
Brooke Singman,201603,0,0,0,Fox news
Brooke Singman,201604,0,0,0,Fox news
Brooke Singman,201605,0,0,0,Fox news
Brooke Singman,201606,0,0,0,Fox news
Brooke Singman,201607,0,0,0,Fox news
Brooke Singman,201608,0,0,0,Fox news
Brooke Singman,201609,0,0,0,Fox news
Brooke Singman,201610,0,0,0,Fox news
Brooke Singman,201611,0,0,0,Fox news
Brooke Singman,201612,0,0,0,Fox news
Brooke Singman,201701,0,0,0,Fox news
Brooke Singman,201702,0,0,0,Fox news
Brooke Singman,201703,0.638205608,6.087692821,2,Fox news
Brooke Singman,201704,0.613684892,8.333664194,5,Fox news
Brooke Singman,201705,0.557872559,15.71415965,7,Fox news
Brooke Singman,201706,0.422603628,12.27043231,8,Fox news
Brooke Singman,201707,0.422603628,12.27043231,8,Fox news
Brooke Singman,201708,0.422603628,12.27043231,8,Fox news
Brooke Singman,201709,0.283262454,11.89829167,11,Fox news
Brooke Singman,201710,0.621285668,10.54508823,12,Fox news
Brooke Singman,201711,0.539894427,13.43973459,20,Fox news
Brooke Singman,201712,0.598620691,10.95206587,22,Fox news
Brooke Singman,201801,0.489666436,12.13272517,23,Fox news
Brooke Singman,201802,0.360543475,13.04372634,25,Fox news
Brooke Singman,201803,0.576419094,12.28828047,27,Fox news
Brooke Singman,201804,0.576419094,12.28828047,27,Fox news
Brooke Singman,201805,0.576419094,12.28828047,27,Fox news
Brooke Singman,201806,0.576419094,12.28828047,27,Fox news
Carrie Johnson,201603,0,0,0,NPR
Carrie Johnson,201604,0,0,0,NPR
