"","country","year","gdpPercap","lifeExp","pop","continent"
"1","Aaron Blake",201603,0,0,0,"Washington post"
"2","Aaron Blake",201604,0,0,0,"Washington post"
"3","Aaron Blake",201605,0,0,0,"Washington post"
"4","Aaron Blake",201606,0,0,0,"Washington post"
"5","Aaron Blake",201607,0,0,0,"Washington post"
"6","Aaron Blake",201608,0,0,0,"Washington post"
"7","Aaron Blake",201609,0,0,0,"Washington post"
"8","Aaron Blake",201610,0,0,0,"Washington post"
"9","Aaron Blake",201611,0,0,0,"Washington post"
"10","Aaron Blake",201612,0,0,0,"Washington post"
"11","Aaron Blake",201701,0,0,0,"Washington post"
"12","Aaron Blake",201702,0,0,0,"Washington post"
"13","Aaron Blake",201703,0,0,0,"Washington post"
"14","Aaron Blake",201704,0,0,0,"Washington post"
"15","Aaron Blake",201705,0,0,0,"Washington post"
"16","Aaron Blake",201706,0,0,0,"Washington post"
"17","Aaron Blake",201707,0,0,0,"Washington post"
"18","Aaron Blake",201708,0,0,0,"Washington post"
"19","Aaron Blake",201709,0.500230370931745,10,3,"Washington post"
"20","Aaron Blake",201710,0.500230370931745,10,3,"Washington post"
"21","Aaron Blake",201711,0.572789994915117,10,6,"Washington post"
"22","Aaron Blake",201712,0.564400183846779,10,10,"Washington post"
"23","Aaron Blake",201801,0.564400183846779,10,10,"Washington post"
"24","Aaron Blake",201802,0.564400183846779,10,10,"Washington post"
"25","Aaron Blake",201803,0.398483745496091,10,15,"Washington post"
"26","Aaron Blake",201804,0.726767586408062,10,17,"Washington post"
"27","Aaron Blake",201805,0.373655199964001,10,19,"Washington post"
"28","Aaron Blake",201806,0.373655199964001,10,19,"Washington post"
"29","Adam Shaw",201603,0,0,0,"Breitbart"
"30","Adam Shaw",201604,0,0,0,"Breitbart"
"31","Adam Shaw",201605,0,0,0,"Breitbart"
"32","Adam Shaw",201606,0,0,0,"Breitbart"
"33","Adam Shaw",201607,0,0,0,"Breitbart"
"34","Adam Shaw",201608,0,0,0,"Breitbart"
"35","Adam Shaw",201609,0,0,0,"Breitbart"
"36","Adam Shaw",201610,0,0,0,"Breitbart"
"37","Adam Shaw",201611,0,0,0,"Breitbart"
"38","Adam Shaw",201612,0,0,0,"Breitbart"
"39","Adam Shaw",201701,0,0,0,"Breitbart"
"40","Adam Shaw",201702,0,0,0,"Breitbart"
"41","Adam Shaw",201703,0,0,0,"Breitbart"
"42","Adam Shaw",201704,0.582561441238794,10,2,"Breitbart"
"43","Adam Shaw",201704,0.582561441238794,10,2,"Breitbart"
"44","Adam Shaw",201705,0.307409389830739,-20,6,"Breitbart"
"45","Adam Shaw",201705,0.307409389830739,-20,6,"Breitbart"
"46","Adam Shaw",201706,0.562497217623169,-50,10,"Breitbart"
"47","Adam Shaw",201706,0.562497217623169,-50,10,"Breitbart"
"48","Adam Shaw",201707,0.562497217623169,-50,10,"Breitbart"
"49","Adam Shaw",201708,0.562497217623169,-50,10,"Breitbart"
"50","Adam Shaw",201709,0.562497217623169,-50,10,"Breitbart"
"51","Adam Shaw",201710,0.562497217623169,-50,10,"Breitbart"
"52","Adam Shaw",201711,0.830963220029874,-50,12,"Breitbart"
"53","Adam Shaw",201711,0.830963220029874,-50,12,"Breitbart"
"54","Adam Shaw",201712,0.488728247275238,-50,14,"Breitbart"
"55","Adam Shaw",201712,0.488728247275238,-50,14,"Breitbart"
"56","Adam Shaw",201801,0.402519589416385,10,20,"Breitbart"
"57","Adam Shaw",201801,0.402519589416385,10,20,"Breitbart"
"58","Adam Shaw",201802,0.482726559290115,10,24,"Breitbart"
"59","Adam Shaw",201802,0.482726559290115,10,24,"Breitbart"
"60","Adam Shaw",201803,0.474230978787188,10,30,"Breitbart"
"61","Adam Shaw",201803,0.474230978787188,10,30,"Breitbart"
"62","Adam Shaw",201804,0.531243314160182,10,36,"Breitbart"
"63","Adam Shaw",201804,0.531243314160182,10,36,"Breitbart"
"64","Adam Shaw",201805,0.591052749155639,10,48,"Breitbart"
"65","Adam Shaw",201805,0.591052749155639,10,48,"Breitbart"
"66","Adam Shaw",201806,0.591052749155639,10,48,"Breitbart"
"67","Adam Shaw",201603,0,0,0,"Fox news"
"68","Adam Shaw",201604,0,0,0,"Fox news"
"69","Adam Shaw",201605,0,0,0,"Fox news"
"70","Adam Shaw",201606,0,0,0,"Fox news"
"71","Adam Shaw",201607,0,0,0,"Fox news"
"72","Adam Shaw",201608,0,0,0,"Fox news"
"73","Adam Shaw",201609,0,0,0,"Fox news"
"74","Adam Shaw",201610,0,0,0,"Fox news"
"75","Adam Shaw",201611,0,0,0,"Fox news"
"76","Adam Shaw",201612,0,0,0,"Fox news"
"77","Adam Shaw",201701,0,0,0,"Fox news"
"78","Adam Shaw",201702,0,0,0,"Fox news"
"79","Adam Shaw",201703,0,0,0,"Fox news"
"80","Adam Shaw",201704,0.582561441238794,10,2,"Fox news"
"81","Adam Shaw",201704,0.582561441238794,10,2,"Fox news"
"82","Adam Shaw",201705,0.307409389830739,-20,6,"Fox news"
"83","Adam Shaw",201705,0.307409389830739,-20,6,"Fox news"
"84","Adam Shaw",201706,0.562497217623169,-50,10,"Fox news"
"85","Adam Shaw",201706,0.562497217623169,-50,10,"Fox news"
"86","Adam Shaw",201707,0.562497217623169,-50,10,"Fox news"
"87","Adam Shaw",201708,0.562497217623169,-50,10,"Fox news"
"88","Adam Shaw",201709,0.562497217623169,-50,10,"Fox news"
"89","Adam Shaw",201710,0.562497217623169,-50,10,"Fox news"
"90","Adam Shaw",201711,0.830963220029874,-50,12,"Fox news"
"91","Adam Shaw",201711,0.830963220029874,-50,12,"Fox news"
"92","Adam Shaw",201712,0.488728247275238,-50,14,"Fox news"
"93","Adam Shaw",201712,0.488728247275238,-50,14,"Fox news"
"94","Adam Shaw",201801,0.402519589416385,10,20,"Fox news"
"95","Adam Shaw",201801,0.402519589416385,10,20,"Fox news"
"96","Adam Shaw",201802,0.482726559290115,10,24,"Fox news"
"97","Adam Shaw",201802,0.482726559290115,10,24,"Fox news"
"98","Adam Shaw",201803,0.474230978787188,10,30,"Fox news"
"99","Adam Shaw",201803,0.474230978787188,10,30,"Fox news"
"100","Adam Shaw",201804,0.531243314160182,10,36,"Fox news"
"101","Adam Shaw",201804,0.531243314160182,10,36,"Fox news"
"102","Adam Shaw",201805,0.591052749155639,10,48,"Fox news"
"103","Adam Shaw",201805,0.591052749155639,10,48,"Fox news"
"104","Adam Shaw",201806,0.591052749155639,10,48,"Fox news"
"105","Adam Taylor",201603,0,0,0,"Washington post"
"106","Adam Taylor",201604,0,0,0,"Washington post"
"107","Adam Taylor",201605,0,0,0,"Washington post"
"108","Adam Taylor",201606,0,0,0,"Washington post"
"109","Adam Taylor",201607,0,0,0,"Washington post"
"110","Adam Taylor",201608,0,0,0,"Washington post"
"111","Adam Taylor",201609,0,0,0,"Washington post"
"112","Adam Taylor",201610,0,0,0,"Washington post"
"113","Adam Taylor",201611,0,0,0,"Washington post"
"114","Adam Taylor",201612,0,0,0,"Washington post"
"115","Adam Taylor",201701,0,0,0,"Washington post"
"116","Adam Taylor",201702,0,0,0,"Washington post"
"117","Adam Taylor",201703,0,0,0,"Washington post"
"118","Adam Taylor",201704,0,0,0,"Washington post"
"119","Adam Taylor",201705,0,0,0,"Washington post"
"120","Adam Taylor",201706,0,0,0,"Washington post"
"121","Adam Taylor",201707,0,0,0,"Washington post"
"122","Adam Taylor",201708,0,0,0,"Washington post"
"123","Adam Taylor",201709,0,0,0,"Washington post"
"124","Adam Taylor",201710,0.49121933759944,10,1,"Washington post"
"125","Adam Taylor",201711,0.49121933759944,10,1,"Washington post"
"126","Adam Taylor",201712,0.49121933759944,10,1,"Washington post"
"127","Adam Taylor",201801,0.49121933759944,10,1,"Washington post"
"128","Adam Taylor",201802,0.601882517207659,10,6,"Washington post"
"129","Adam Taylor",201803,0.569546632829581,10,8,"Washington post"
"130","Adam Taylor",201804,0.569546632829581,10,8,"Washington post"
"131","Adam Taylor",201805,0.569546632829581,10,8,"Washington post"
"132","Adam Taylor",201806,0.569546632829581,10,8,"Washington post"
"133","Adelle Nazarian",201603,0,0,0,"Breitbart"
"134","Adelle Nazarian",201604,0,0,0,"Breitbart"
"135","Adelle Nazarian",201605,0,0,0,"Breitbart"
"136","Adelle Nazarian",201606,0,0,0,"Breitbart"
"137","Adelle Nazarian",201607,0,0,0,"Breitbart"
"138","Adelle Nazarian",201608,0,0,0,"Breitbart"
"139","Adelle Nazarian",201609,0,0,0,"Breitbart"
"140","Adelle Nazarian",201610,0,0,0,"Breitbart"
"141","Adelle Nazarian",201611,0,0,0,"Breitbart"
"142","Adelle Nazarian",201612,0,0,0,"Breitbart"
"143","Adelle Nazarian",201701,0,0,0,"Breitbart"
"144","Adelle Nazarian",201702,0,0,0,"Breitbart"
"145","Adelle Nazarian",201703,0,0,0,"Breitbart"
"146","Adelle Nazarian",201704,0,0,0,"Breitbart"
"147","Adelle Nazarian",201705,0,0,0,"Breitbart"
"148","Adelle Nazarian",201706,0.633413463583003,-50,2,"Breitbart"
"149","Adelle Nazarian",201707,0.541991635290398,-50,4,"Breitbart"
"150","Adelle Nazarian",201708,0.541991635290398,-50,4,"Breitbart"
"151","Adelle Nazarian",201709,0.427080631970871,-50,5,"Breitbart"
"152","Adelle Nazarian",201710,0.483854198375239,-50,6,"Breitbart"
"153","Adelle Nazarian",201711,0.483854198375239,-50,6,"Breitbart"
"154","Adelle Nazarian",201712,0.483854198375239,-50,6,"Breitbart"
"155","Adelle Nazarian",201801,0.697208363553213,-50,7,"Breitbart"
"156","Adelle Nazarian",201802,0.416519045518745,-50,8,"Breitbart"
"157","Adelle Nazarian",201803,0.433043892662742,-50,9,"Breitbart"
"158","Adelle Nazarian",201804,0.433043892662742,-50,9,"Breitbart"
"159","Adelle Nazarian",201805,0.433043892662742,-50,9,"Breitbart"
"160","Adelle Nazarian",201806,0.705025663047721,-50,10,"Breitbart"
"161","Alex Pappas",201603,0,0,0,"Fox news"
"162","Alex Pappas",201604,0,0,0,"Fox news"
"163","Alex Pappas",201605,0,0,0,"Fox news"
"164","Alex Pappas",201606,0,0,0,"Fox news"
"165","Alex Pappas",201607,0,0,0,"Fox news"
"166","Alex Pappas",201608,0,0,0,"Fox news"
"167","Alex Pappas",201609,0,0,0,"Fox news"
"168","Alex Pappas",201610,0,0,0,"Fox news"
"169","Alex Pappas",201611,0,0,0,"Fox news"
"170","Alex Pappas",201612,0,0,0,"Fox news"
"171","Alex Pappas",201701,0,0,0,"Fox news"
"172","Alex Pappas",201702,0,0,0,"Fox news"
"173","Alex Pappas",201703,0,0,0,"Fox news"
"174","Alex Pappas",201704,0,0,0,"Fox news"
"175","Alex Pappas",201705,0,0,0,"Fox news"
"176","Alex Pappas",201706,0,0,0,"Fox news"
"177","Alex Pappas",201707,0.539380438409715,10,1,"Fox news"
"178","Alex Pappas",201708,0.539380438409715,10,1,"Fox news"
"179","Alex Pappas",201709,0.49311586502714,10,7,"Fox news"
"180","Alex Pappas",201710,0.658553188977698,10,8,"Fox news"
"181","Alex Pappas",201711,0.628359855548109,10,11,"Fox news"
"182","Alex Pappas",201712,0.742209641000145,10,19,"Fox news"
"183","Alex Pappas",201801,0.742209641000145,10,19,"Fox news"
"184","Alex Pappas",201802,0.620152407275786,10,22,"Fox news"
"185","Alex Pappas",201803,0.652164264594369,10,25,"Fox news"
"186","Alex Pappas",201804,0.652164264594369,10,25,"Fox news"
"187","Alex Pappas",201805,0.524121232812555,10,29,"Fox news"
"188","Alex Pappas",201806,0.524121232812555,10,29,"Fox news"
"189","Alexander Burns",201603,0,0,0,"New York Times"
"190","Alexander Burns",201604,0,0,0,"New York Times"
"191","Alexander Burns",201605,0,0,0,"New York Times"
"192","Alexander Burns",201606,0,0,0,"New York Times"
"193","Alexander Burns",201607,0,0,0,"New York Times"
"194","Alexander Burns",201608,0.644324264095659,0,1,"New York Times"
"195","Alexander Burns",201609,0.644324264095659,0,1,"New York Times"
"196","Alexander Burns",201610,0.644324264095659,0,1,"New York Times"
"197","Alexander Burns",201611,0.644324264095659,0,1,"New York Times"
"198","Alexander Burns",201612,0.644324264095659,0,1,"New York Times"
"199","Alexander Burns",201701,0.644324264095659,0,1,"New York Times"
"200","Alexander Burns",201702,0.40210931548459,0,2,"New York Times"
"201","Alexander Burns",201703,0.40210931548459,0,2,"New York Times"
"202","Alexander Burns",201704,0.40210931548459,0,2,"New York Times"
"203","Alexander Burns",201705,0.40210931548459,0,2,"New York Times"
"204","Alexander Burns",201706,0.40210931548459,0,2,"New York Times"
"205","Alexander Burns",201707,0.40210931548459,0,2,"New York Times"
"206","Alexander Burns",201708,0.40210931548459,0,2,"New York Times"
"207","Alexander Burns",201709,0.40210931548459,0,2,"New York Times"
"208","Alexander Burns",201710,0.40210931548459,0,2,"New York Times"
"209","Alexander Burns",201711,0.737363856670758,10,4,"New York Times"
"210","Alexander Burns",201712,0.737363856670758,10,4,"New York Times"
"211","Alexander Burns",201801,0.737363856670758,10,4,"New York Times"
"212","Alexander Burns",201802,0.737363856670758,10,4,"New York Times"
"213","Alexander Burns",201803,0.489911874658057,10,7,"New York Times"
"214","Alexander Burns",201804,0.489911874658057,10,7,"New York Times"
"215","Alexander Burns",201805,0.53120282976065,10,9,"New York Times"
"216","Alexander Burns",201806,0.53120282976065,10,9,"New York Times"
"217","Am Joy",201603,0,0,0,"MSNBC"
"218","Am Joy",201604,0,0,0,"MSNBC"
"219","Am Joy",201605,0,0,0,"MSNBC"
"220","Am Joy",201606,0.480520181452797,0,1,"MSNBC"
"221","Am Joy",201607,0.480520181452797,0,1,"MSNBC"
"222","Am Joy",201608,0.641199506466082,10,2,"MSNBC"
"223","Am Joy",201609,0.641199506466082,10,2,"MSNBC"
"224","Am Joy",201610,0.473232972610989,5,4,"MSNBC"
"225","Am Joy",201611,0.423388123662395,2.5,8,"MSNBC"
"226","Am Joy",201612,0.522318031850765,0,10,"MSNBC"
"227","Am Joy",201701,0.522318031850765,0,10,"MSNBC"
"228","Am Joy",201702,0.522318031850765,0,10,"MSNBC"
"229","Am Joy",201703,0.392813882272253,0,11,"MSNBC"
"230","Am Joy",201704,0.392813882272253,0,11,"MSNBC"
"231","Am Joy",201705,0.392813882272253,0,11,"MSNBC"
"232","Am Joy",201706,0.559134285592376,10,12,"MSNBC"
"233","Am Joy",201707,0.559134285592376,10,12,"MSNBC"
"234","Am Joy",201708,0.559134285592376,10,12,"MSNBC"
"235","Am Joy",201709,0.559134285592376,10,12,"MSNBC"
"236","Am Joy",201710,0.559134285592376,10,12,"MSNBC"
"237","Am Joy",201711,0.559134285592376,10,12,"MSNBC"
"238","Am Joy",201712,0.559134285592376,10,12,"MSNBC"
"239","Am Joy",201801,0.559134285592376,10,12,"MSNBC"
"240","Am Joy",201802,0.559134285592376,10,12,"MSNBC"
"241","Am Joy",201803,0.559134285592376,10,12,"MSNBC"
"242","Am Joy",201804,0.559134285592376,10,12,"MSNBC"
"243","Am Joy",201805,0.559134285592376,10,12,"MSNBC"
"244","Am Joy",201806,0.559134285592376,10,12,"MSNBC"
"245","Amber Phillips",201603,0,0,0,"Washington post"
"246","Amber Phillips",201604,0,0,0,"Washington post"
"247","Amber Phillips",201605,0,0,0,"Washington post"
"248","Amber Phillips",201606,0,0,0,"Washington post"
"249","Amber Phillips",201607,0,0,0,"Washington post"
"250","Amber Phillips",201608,0,0,0,"Washington post"
"251","Amber Phillips",201609,0,0,0,"Washington post"
"252","Amber Phillips",201610,0,0,0,"Washington post"
"253","Amber Phillips",201611,0,0,0,"Washington post"
"254","Amber Phillips",201612,0,0,0,"Washington post"
"255","Amber Phillips",201701,0,0,0,"Washington post"
"256","Amber Phillips",201702,0,0,0,"Washington post"
"257","Amber Phillips",201703,0,0,0,"Washington post"
"258","Amber Phillips",201704,0,0,0,"Washington post"
"259","Amber Phillips",201705,0,0,0,"Washington post"
"260","Amber Phillips",201706,0,0,0,"Washington post"
"261","Amber Phillips",201707,0,0,0,"Washington post"
"262","Amber Phillips",201708,0.613400594774296,10,3,"Washington post"
"263","Amber Phillips",201709,0.730156586141314,10,5,"Washington post"
"264","Amber Phillips",201710,0.5976776530837,10,6,"Washington post"
"265","Amber Phillips",201711,0.601198356625072,10,12,"Washington post"
"266","Amber Phillips",201712,0.601198356625072,10,12,"Washington post"
"267","Amber Phillips",201801,0.826383337775837,10,13,"Washington post"
"268","Amber Phillips",201802,0.826383337775837,10,13,"Washington post"
"269","Amber Phillips",201803,0.498127968888404,10,15,"Washington post"
"270","Amber Phillips",201804,0.498127968888404,10,15,"Washington post"
"271","Amber Phillips",201805,0.850148451535957,10,16,"Washington post"
"272","Amber Phillips",201806,0.850148451535957,10,16,"Washington post"
"273","Andrew Kaczynski",201603,0,0,0,"CNN"
"274","Andrew Kaczynski",201604,0,0,0,"CNN"
"275","Andrew Kaczynski",201605,0,0,0,"CNN"
"276","Andrew Kaczynski",201606,0,0,0,"CNN"
"277","Andrew Kaczynski",201607,0,0,0,"CNN"
"278","Andrew Kaczynski",201608,0,0,0,"CNN"
"279","Andrew Kaczynski",201609,0,0,0,"CNN"
